numero,id,marca,modelo,año_modelo,millaje,tipo_combustible,motor,transmisión,color_exterior,color_interior,accidente,sin_daños,precio
3010,71098,Toyota,Camry Hybrid LE,2016,96473,Hybrid,2.5L I4 16V PDI DOHC Hybrid,Automatic CVT,Black,Black,None reported,,
3011,152011,Ford,F-150 XLT,2021,48200,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Black,Black,None reported,Yes,
3012,43528,Ford,Expedition Platinum,2021,84224,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Gray,Medium Dark Slate,At least 1 accident or damage reported,Yes,
3013,51212,Ford,Transit-350 Base,2021,72000,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,
3014,17995,Ford,Explorer XLT,2020,43875,Gasoline,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,White,Light Slate,At least 1 accident or damage reported,Yes,
3015,78544,Hyundai,Veloster Base,2013,800,Gasoline,132.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,
3016,143606,Rolls-Royce,Cullinan,2022,3000,Gasoline,6.7L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,Silver,Charles Blue,None reported,Yes,
3017,61940,Volkswagen,Eurovan MV,1999,162000,Gasoline,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,–,None reported,Yes,
3018,17235,INFINITI,QX60 Luxe,2020,68000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,
3019,165037,INFINITI,Q60 3.0t Red Sport 400,2019,55800,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,7-Speed Automatic,Obsidian Black Metallic,Mistral Gray / Raven,None reported,,
3020,70243,Land,Rover Range Rover Sport Supercharged HSE,2017,87500,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,
3021,13000,Hyundai,Genesis 4.6,2010,153332,Gasoline,378.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,
3022,87024,Chevrolet,Colorado ZR2,2019,51300,E85 Flex Fuel,3.6L V6 24V MPFI DOHC Flexible Fuel,6-Speed Automatic,White,Black,At least 1 accident or damage reported,Yes,
3023,40357,Lexus,GX 470 Base,2005,152000,Gasoline,263.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,
3024,70591,Mercedes-Benz,S-Class S 63 AMG,2008,93000,Gasoline,518.0HP 6.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,
3025,41638,BMW,640 i,2012,137000,Gasoline,315.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Beige,None reported,Yes,
3026,35851,Chrysler,Town & Country Touring-L,2011,170000,E85 Flex Fuel,283.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,None reported,Yes,
3027,131200,Lucid,Air Grand Touring,2007,156875,Gasoline,262.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Black,None reported,Yes,
3028,144868,Porsche,911 Carrera,2018,2700,Gasoline,379.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,
3029,160992,RAM,1500 Big Horn,2021,31729,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Bright White Clearcoat,Black,None reported,Yes,
3030,36203,RAM,1500 Big Horn,2022,31654,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Bright White Clearcoat,Black,None reported,Yes,
3031,40026,Porsche,911 Carrera,2023,8400,Gasoline,379.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,
3032,129541,Audi,Q5 S line Premium Plus,2018,80400,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Black,None reported,Yes,
3033,62534,BMW,330e iPerformance,2019,70500,Plug-In Hybrid,247.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,
3034,34306,Mercedes-Benz,C-Class C300 4MATIC,2021,1408,Gasoline,2.0 Liter Turbo,Automatic,Black,Silk Beige/Espresso Brown,None reported,,
3035,182374,Lexus,GX 460 Base,2018,73091,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,
3036,110100,Mercedes-Benz,CLA-Class CLA 250,2016,67250,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,
3037,7168,RAM,1500 TRX,2022,2250,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,
3038,99942,Land,Rover Defender X-Dynamic SE,2019,38020,Hybrid,3.0 Liter,Automatic,Santorin Black,Black,None reported,,
3039,156237,Kia,Optima LX,2016,78717,Gasoline,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,
3040,121117,INFINITI,G37 x,2012,127500,Gasoline,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,
3041,1615,Cadillac,XT5 Luxury,2019,72060,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Stellar Black Metallic,Shara Beige,At least 1 accident or damage reported,,
3042,186778,BMW,M8 Gran Coupe Competition,2022,8603,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Brands Hatch Gray Metallic,Black,None reported,Yes,
3043,22075,Mercedes-Benz,AMG C 63 Base,2017,16000,Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Black,None reported,Yes,
3044,151140,Toyota,Tundra SR5,2019,107714,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,8-Speed Automatic,Lunar Silver Metallic,Black,None reported,,
3045,122555,Kia,Sportage LX,2015,145000,Gasoline,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Dark Gray,At least 1 accident or damage reported,Yes,
3046,117396,Porsche,911 Carrera Cabriolet,1997,239000,–,–,Transmission w/Dual Shift Mode,Red,Gray,None reported,Yes,
3047,171719,Buick,Enclave Avenir,2020,36544,Gasoline,3.6L V6 24V GDI DOHC,10-Speed Automatic,Dark Moon Blue Metallic,Ebony,None reported,Yes,
3048,175733,Land,Rover Defender X-Dynamic SE,2022,6204,Gasoline,3.0 Liter,Automatic,Black,Black,None reported,,
3049,80716,Chevrolet,Camaro Base,2010,83765,Gasoline,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,
3050,136067,Land,Rover Range Rover Sport Supercharged,2012,106000,Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,
3051,2656,Scion,tC Anniversary Edition,2015,87305,Gasoline,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,
3052,19697,Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,2018,33500,Gasoline,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Black,None reported,Yes,
3053,48070,Chevrolet,Corvette Z06,2004,140000,Gasoline,405.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Black,None reported,Yes,
3054,130544,Porsche,Panamera Turbo,2020,56778,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Black,None reported,Yes,
3055,35439,Jaguar,F-PACE 25t Premium,2019,34322,Gasoline,2.0 Liter,Automatic,Yulong White,Ebony,None reported,,
3056,129357,Nissan,GT-R Premium,2017,4900,Gasoline,562.0HP 3.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Orange,Black,None reported,Yes,
3057,13397,BMW,650 i,2011,98385,Gasoline,400.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,
3058,155643,Porsche,911 Carrera S,2017,87600,Gasoline,355.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,
3059,41072,INFINITI,Q50 3.0t Signature Edition,2014,112000,Gasoline,300.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,
3060,4223,Volvo,XC60 T5 R-Design,2022,24000,Gasoline,300.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Brown,None reported,Yes,
3061,164920,Aston,Martin Vantage Base,2022,1877,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Brown,None reported,Yes,
3062,158169,Ferrari,Roma Base,2022,2620,Gasoline,611.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,–,,,
3063,139619,BMW,740 i,2012,70000,Gasoline,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,
3064,155603,Volkswagen,Touareg VR6 Lux,2019,47000,Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,Red,None reported,Yes,
3065,131207,Jeep,Wrangler SE,2003,71000,Gasoline,150.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Gold,Black,None reported,Yes,
3066,85016,Chevrolet,Camaro 2SS,2022,11806,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,White,None reported,Yes,
3067,125580,Nissan,Pathfinder S,2018,103069,Gasoline,3.5 Liter,Automatic,White,Charcoal,None reported,,
3068,112352,Mercedes-Benz,E-Class E 350,2014,29000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Beige,None reported,Yes,
3069,182288,Toyota,Camry Solara SLE V6,2000,37216,Gasoline,200.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,Yes,
3070,175437,Cadillac,Escalade ESV Platinum,2023,8600,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,At least 1 accident or damage reported,Yes,
3071,126640,Kia,Optima LX,2018,80124,Gasoline,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,
3072,130527,Chevrolet,Suburban 1500 LTZ,2014,89500,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Transmission Overdrive Switch,Black,Black,None reported,Yes,
3073,187817,Acura,ILX Premium Package,2023,45000,Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,
3074,22865,INFINITI,G37 x,2013,145000,Gasoline,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,
3075,159180,Ford,Shelby GT350R Base,2018,2900,Gasoline,526.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,
3076,6918,Chrysler,300 Touring,2022,2000,Gasoline,250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Green,Black,None reported,Yes,
3077,136279,BMW,M4 Base,2020,41500,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,
3078,51210,Dodge,Ram 1500 ST,2008,167000,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Gray,At least 1 accident or damage reported,Yes,
3079,154208,Audi,A8 L 55,2019,26520,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,
3080,3828,Toyota,Sequoia TRD Pro,2019,19500,E85 Flex Fuel,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,A/T,Gray,Red,None reported,Yes,
3081,14495,RAM,2500 Big Horn,2013,143000,Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,
3082,91280,Jeep,Gladiator Overland,2021,19500,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,
3083,88308,BMW,X3 xDrive30i,2021,13613,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Pure White,Titan Black,None reported,,
3084,142668,Land,Rover Range Rover Evoque Pure,2015,154000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Black,None reported,Yes,
3085,114874,Chevrolet,Trailblazer LS,2022,35315,Gasoline,1.3L I3 12V GDI DOHC Turbo,9-Speed Automatic,Mosaic Black Metallic,Jet Black,None reported,Yes,
3086,171943,Jeep,Liberty Sport,2010,15020,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,Yes,
3087,104353,Lucid,Air Pure,2022,19000,Gasoline,500.0HP Electric Motor Electric Fuel System,2-Speed A/T,Black,Gray,None reported,Yes,
3088,105878,Land,Rover Range Rover Velar P380 SE R-Dynamic,2019,19813,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Red,Beige,,,
3089,150280,Scion,tC Anniversary Edition,2014,162000,Gasoline,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,
3090,58655,Volvo,S80 T6,2007,67400,Gasoline,316.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,
3091,67669,BMW,335 i,2011,125559,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,Yes,
3092,67819,Toyota,RAV4 Base,2012,93000,Gasoline,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,
3093,169082,Chevrolet,Silverado 1500 LT Extended Cab,2021,72128,Gasoline,6.6L V8 16V GDI OHV,Automatic,Black,Jet Black,None reported,Yes,
3094,71724,Cadillac,XT6 Premium Luxury AWD,2021,222,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,
3095,19462,BMW,325 Ci,2004,138000,Gasoline,184.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Black,None reported,Yes,
3096,13624,INFINITI,G35 Base,2015,124000,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,
3097,56723,Ford,Liberty Renegade,2007,89600,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,
3098,166407,Mercedes-Benz,E-Class E 350,2017,69000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,
3099,154560,Dodge,Ram 1500 ST,2010,162731,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,At least 1 accident or damage reported,Yes,
3100,51865,Ford,Bronco Wildtrak Advanced,2019,56654,Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,
3101,88432,Audi,A3 2.0T Premium,2012,105000,Gasoline,184.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Brown,At least 1 accident or damage reported,Yes,
3102,124610,Toyota,Tundra SR5,2013,105000,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Brown,Gray,None reported,Yes,
3103,22833,BMW,M4 Competition xDrive,2022,9000,Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,
3104,24231,Mercedes-Benz,CLK-Class CLK 350,2014,98000,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,Yes,
3105,75879,Chevrolet,Corvette Base,2004,143000,Gasoline,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed M/T,Silver,Gray,None reported,Yes,
3106,123091,Porsche,Panamera Turbo,2015,1837,Gasoline,520.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,
3107,110485,Chevrolet,Corvette Base,2005,178000,Gasoline,300.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Silver,Beige,At least 1 accident or damage reported,Yes,
3108,4108,Mercedes-Benz,AMG C 63 Base,2017,95428,Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,
3109,24099,Ford,F-150 Lariat,2014,67500,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,
3110,31742,Lexus,GX 460 Base,2017,72000,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Beige,None reported,Yes,
3111,140329,Tesla,Model X Base,2023,197,,670.0HP Electric Motor Electric Fuel System,1-Speed A/T,Gray,Black,None reported,Yes,
3112,65292,RAM,1500 Limited,2017,74864,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Gray,None reported,Yes,
3113,139009,Mercedes-Benz,AMG E 63 S 4MATIC,2018,12700,Gasoline,603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,None reported,Yes,
3114,120902,Audi,A6 55 Premium Plus,2022,49872,Hybrid,3.0 Liter TFSI,Automatic,Mythos Black Metallic,Black,None reported,,
3115,59589,Toyota,RAV4 SE,2016,99000,Gasoline,176.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Orange,None reported,Yes,
3116,4279,Ford,F-150 Raptor,2021,18000,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Black,None reported,Yes,
3117,47680,Land,Rover Range Rover Sport Supercharged,2015,104700,E85 Flex Fuel,340.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,
3118,139228,Toyota,Highlander SE,2021,48641,Gasoline,3.5L V6 24V PDI DOHC,8-Speed A/T,Silver,Black,None reported,Yes,
3119,99957,Chevrolet,Traverse Premier,2021,50648,Gasoline,3.6L V6 24V GDI DOHC,9-Speed Automatic,Silver Ice Metallic,Jet Black,None reported,,
3120,136014,Rolls-Royce,Ghost Base,2014,12500,Gasoline,563.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,
3121,141639,Mercedes-Benz,GLS 450 Base 4MATIC,2021,73837,Gasoline,3.0 Liter DOHC Twin Turbo,Automatic,Black,–,None reported,,
3122,101426,Ford,F-250 King Ranch,2023,9978,Diesel,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Silver,Gray,None reported,Yes,
3123,78749,GMC,Acadia SLE,2022,14636,Gasoline,3.6L V6 24V GDI DOHC,6-Speed Automatic,Summit White,Ebony,,,
3124,171395,Toyota,Tundra SR5,2018,61500,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,
3125,177613,Ford,E350 Super Duty Base,2006,132600,E85 Flex Fuel,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,
3126,84671,INFINITI,QX80 SENSORY,2023,19800,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,
3127,52010,Audi,A7 3.0T Prestige,2012,112000,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,
3128,77568,Jeep,Cherokee X,2020,27352,Gasoline,3.2L V6 24V MPFI DOHC,6-Speed Automatic,Magnetic Gray Clearcoat,Black,None reported,,
3129,48837,Porsche,Panamera 4 Edition,2016,54900,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,
3130,60374,Land,Rover Range Rover 3.0L Supercharged HSE,2016,70582,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,None reported,Yes,
3131,98769,Acura,RDX w/A-Spec Package,2022,29336,Gasoline,2.0 Liter DOHC Turbo,Automatic,Black,Black,None reported,,
3132,175270,BMW,540 i xDrive,2016,100900,Gasoline,2.0 Liter Turbo,Automatic,White,Black,None reported,,
3133,165324,Chevrolet,Colorado Z71,2020,48641,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Shadow Gray Metallic,Black,,,
3134,129153,BMW,M4 Competition xDrive,2021,41000,Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Orange,None reported,Yes,
3135,13935,Chevrolet,Corvette Stingray w/2LT,2022,24158,Gasoline,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Yellow,–,None reported,Yes,
3136,148023,Ford,Expedition Platinum,2018,69849,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Black,Mesa,None reported,Yes,
3137,171495,Kia,Stinger GT2,2017,87500,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,
3138,171534,Mercedes-Benz,E-Class E 400 4MATIC,2022,20598,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,Black,Black,None reported,,
3139,174727,Chevrolet,Suburban 1500 LTZ,2010,171750,Gasoline,320.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Brown,Brown,At least 1 accident or damage reported,Yes,
3140,116353,BMW,X5 PHEV xDrive45e,2022,7800,Plug-In Hybrid,389.0HP 3.0L Straight 6 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,Gray,Gray,None reported,Yes,
3141,144835,Mitsubishi,Lancer DE,2005,90367,Gasoline,166.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Yellow,Black,None reported,Yes,
3142,138042,Cadillac,CTS Premium,2013,101000,Gasoline,318.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Beige,At least 1 accident or damage reported,Yes,
3143,107641,Mercedes-Benz,E-Class E 350,2011,131000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Gray,None reported,Yes,
3144,149291,Ford,F-150 XLT SuperCab,2007,75539,Gasoline,292.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,
3145,101264,BMW,M5 Base,2013,103000,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,
3146,50740,Land,Rover Range Rover 3.0L V6 Supercharged HSE,2019,57500,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,
3147,79360,Audi,S5 3.0T Premium Plus,2017,95798,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,
3148,151059,Ford,F-150 Lariat,2010,95500,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Beige,None reported,Yes,
3149,54996,GMC,Terrain SLT-1,2016,127770,Gasoline,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Gray,At least 1 accident or damage reported,Yes,
3150,52505,Audi,S4 3.0T Premium Plus,2014,102000,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,At least 1 accident or damage reported,Yes,
3151,13057,Audi,A4 2.0T Premium,2012,111773,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,Yes,
3152,25776,Jeep,Grand Cherokee L Limited,2022,25785,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Velvet Red Pearlcoat,Global Black,None reported,,
3153,63343,Mercedes-Benz,S-Class S 550 4MATIC,2015,170000,Gasoline,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,Yes,
3154,175929,Mercedes-Benz,AMG C 63 Base,2017,39000,Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,
3155,8106,Mercedes-Benz,AMG C 43 Base 4MATIC,2019,38800,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,None reported,Yes,
3156,119506,Porsche,911 Carrera Cabriolet,2002,170000,Gasoline,325.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,Yes,
3157,149992,BMW,M4 Base,2012,63750,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Gray,None reported,Yes,
3158,86245,Audi,Q5 S line Premium Plus,2022,15840,Hybrid,2.0 Liter TFSI,Automatic,Mythos Black Metallic,Rock Gray,None reported,,
3159,111176,Ford,F-250 XLT,2019,44460,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,None reported,Yes,
3160,13479,Tesla,Model 3 Standard Range Plus,2019,24360,,Electric Motor Electric Fuel System,A/T,Black,Red,None reported,Yes,
3161,6423,Land,Rover Range Rover Velar R-Dynamic S,2020,30424,Gasoline,I4,Automatic,White,Black,None reported,,
3162,22483,Audi,A8 L 55,2019,35000,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Black,Beige,None reported,Yes,
3163,138293,RAM,ProMaster 2500 High Roof,2020,33499,Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,None reported,Yes,
3164,7745,Lexus,GX 460 Base,2022,4500,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,
3165,141867,Land,Rover Defender SE,2023,180036,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Black,Black,None reported,Yes,
3166,31029,Porsche,Cayman Base,2019,69487,Gasoline,265.0HP 2.9L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Beige,At least 1 accident or damage reported,Yes,
3167,59745,Mercedes-Benz,S-Class S 560 4MATIC,2022,12500,Gasoline,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,White,None reported,Yes,
